min_cluster_size,min_samples,cluster_count,noise_rate,assigned_share,silhouette_assigned,relative_validity,mean_cluster_persistence,min_cluster_persistence,largest_cluster_share_assigned,search_stage,quality_pass,pareto_frontier,composite_score
1357,12,4,0.09174642925359197,0.908253570746408,0.532276451587677,0.06212415688925172,0.3973963961810634,0.09762303487156679,0.31540330872044114,REFINE_1,True,False,0.566025641025641
1357,16,5,0.19701182113372526,0.8029881788662747,0.4986915588378906,0.5521763364060888,0.3511003166677553,0.05433584131440535,0.35675018500898614,REFINE_1,True,False,0.4602564102564103
1621,5,4,0.1561790360576413,0.8438209639423587,0.566321849822998,0.34338357257027374,0.3321054099624068,0.06614487938298011,0.3392605633802817,REFINE_1,True,False,0.5673076923076923
1621,8,5,0.16381926611345743,0.8361807338865426,0.48014411330223083,0.573620022919876,0.31336205749130275,0.08225506477448662,0.34251269035532994,REFINE_1,True,False,0.4314102564102563
1621,10,4,0.14425178802606167,0.8557482119739384,0.5595516562461853,0.3418326236805455,0.3701307529734884,0.0726890297918316,0.33475522047517486,REFINE_1,True,False,0.5858974358974359
1621,12,4,0.09174642925359197,0.908253570746408,0.532276451587677,0.06212415688925172,0.3890919500267324,0.09762303487156679,0.31540330872044114,REFINE_1,True,False,0.5596153846153846
1621,16,5,0.19701182113372526,0.8029881788662747,0.4986915588378906,0.5521763364060888,0.3731346368864224,0.05982651594283855,0.35675018500898614,REFINE_1,True,False,0.4987179487179487
1885,8,4,0.1431269763789554,0.8568730236210446,0.5609503984451294,0.34277518700985643,0.305097516325844,0.08755721625892554,0.33424148606811144,REFINE_1,True,False,0.5506410256410256
1885,12,4,0.09174642925359197,0.908253570746408,0.532276451587677,0.06212415688925172,0.4105743263362629,0.10372553618445304,0.31540330872044114,REFINE_1,True,False,0.5724358974358974
1885,16,5,0.19701182113372526,0.8029881788662747,0.4986915588378906,0.5521763364060888,0.3806347471973829,0.06502970182137499,0.35675018500898614,REFINE_1,True,True,0.5243589743589744
2149,5,4,0.1561790360576413,0.8438209639423587,0.566321849822998,0.34338357257027374,0.3575358424635293,0.08610993293408063,0.3392605633802817,REFINE_1,True,True,0.6506410256410255
2149,8,4,0.1431269763789554,0.8568730236210446,0.5609503984451294,0.34277518700985643,0.330594283082963,0.09574036555354182,0.33424148606811144,REFINE_1,True,True,0.5762820512820512
2149,10,4,0.14425178802606167,0.8557482119739384,0.5595516562461853,0.3418326236805455,0.41402535076819685,0.0869990853667939,0.33475522047517486,REFINE_1,True,True,0.6628205128205128
2149,12,4,0.09174642925359197,0.908253570746408,0.532276451587677,0.06212415688925172,0.45281837615086046,0.11926489903866515,0.31540330872044114,REFINE_1,True,True,0.5916666666666667
2149,16,5,0.19701182113372526,0.8029881788662747,0.4986915588378906,0.5521763364060888,0.35302456101609125,0.06502970182137499,0.35675018500898614,REFINE_1,True,False,0.47307692307692306
2413,5,4,0.1561790360576413,0.8438209639423587,0.566321849822998,0.34338357257027374,0.2741572932679272,0.0123574006763965,0.3392605633802817,REFINE_1,True,False,0.5224358974358974
2413,8,4,0.1431269763789554,0.8568730236210446,0.5609503984451294,0.34277518700985643,0.24041692894219854,0.09772629788703026,0.33424148606811144,REFINE_1,False,False,
2413,10,4,0.14425178802606167,0.8557482119739384,0.5595516562461853,0.3418326236805455,0.3380304504038902,0.09750890915907857,0.33475522047517486,REFINE_1,True,False,0.5185897435897436
2413,12,4,0.09174642925359197,0.908253570746408,0.532276451587677,0.06212415688925172,0.37415753486167685,0.13252158565654534,0.31540330872044114,REFINE_1,True,False,0.5211538461538461
2413,16,5,0.19701182113372526,0.8029881788662747,0.4986915588378906,0.5521763364060888,0.2558728299559653,0.07324899082441821,0.35675018500898614,REFINE_1,True,False,0.34487179487179487
