segment,rank,term,segment_mean_tfidf,global_mean_tfidf,lift_vs_global,differential_score,segment_document_frequency,segment_document_share
0,34,girls,0.007466401814854121,0.0008507173394564869,8.776595304672785,0.02339717505305127,387,0.13092016238159676
0,35,daughter school,0.006523948406123623,0.0005526225787147203,11.805432218298924,0.023234252570804866,267,0.09032476319350474
0,36,cute daughter,0.005899673838322594,0.00040007767310031966,14.746321080249153,0.022904204450727335,224,0.07577807848443843
0,37,perfect year old,0.005882784262210134,0.0004283458959190652,13.733723856170545,0.022234871158566486,285,0.09641407307171854
0,38,girl,0.007812287270833446,0.001096565361394865,7.124324312753825,0.02213028170443596,426,0.14411366711772666
0,39,colors,0.011417952911611235,0.003038236997689803,3.758085007040289,0.021808263806341748,609,0.20602165087956698
0,40,old daughter loves,0.005945798602924212,0.00047596036234723673,12.49221376778061,0.021660290169687978,272,0.09201623815967523
0,41,year olds,0.006136512491249524,0.0005623651735373084,10.911971028964233,0.021157712086711723,339,0.11468200270635995
0,42,young,0.007650026918013974,0.0011402419633235541,6.70912592096392,0.021007928803353625,466,0.15764546684709066
0,43,uses,0.013475855015068509,0.004588472091012938,2.9368937515225735,0.02094540116439045,890,0.3010825439783491
0,44,adult,0.00849575246700304,0.0015507432995426039,5.47850341512382,0.02084672312221565,508,0.17185385656292287
0,45,kindergarten,0.005589995790180504,0.00042363983905811803,13.195160753562808,0.02080561228248282,269,0.09100135317997293
0,46,old granddaughter,0.0053325199585443055,0.00041654574126916453,12.801763212114471,0.01961445151558534,263,0.08897158322056833
0,47,cute work,0.005147606173938413,0.0003856766129925445,13.346949200912455,0.019244007087085475,186,0.06292286874154263
0,48,toddlers,0.005368889842289008,0.00046845675991769525,11.460801276027023,0.0188911691209368,278,0.09404600811907984
0,49,grade,0.006962119989321093,0.0010867620563720071,6.406296523782579,0.018654934905087427,345,0.11671177266576455
0,50,broken,0.01384077201052784,0.005512890920357454,2.510619602123343,0.01838114667317384,877,0.29668470906630584
1,1,battery,0.03843319849647113,0.01344483030920797,2.858585613259155,0.05823788329071256,10580,0.7838198251592828
1,2,battery life,0.029837943829088113,0.009553820922874276,3.1231424649718256,0.04902369339461827,9159,0.6785449696251297
1,3,charge,0.029862108850593868,0.011077272442663134,2.6957998012116047,0.04272411812946076,9064,0.6715068899096163
1,4,life,0.028511548140522484,0.010227195341694969,2.787816912276695,0.0421724520366435,9395,0.6960290413394576
1,5,charging,0.02157295354402068,0.008080989773099961,2.669592976613241,0.030560673050287954,7486,0.5546006815824567
1,6,bluetooth,0.024938226836529503,0.011592616297307134,2.151216446383309,0.027560548472043284,8654,0.6411320195584531
1,7,charged,0.01489928235630541,0.005582276854321009,2.6690332177099854,0.02110211077464458,6093,0.45140020743813897
1,8,noise,0.025064055329534495,0.01425996183917586,1.7576523423729857,0.020393362065882593,9024,0.6685434879241369
1,9,wireless,0.016815864215623116,0.007552677000423536,2.226477342199811,0.019418336636062787,6862,0.5083716106089791
1,10,hours,0.018188394103876716,0.008992147339676093,2.0226975177109567,0.01848451188432907,7768,0.5754926655800859
1,11,case,0.02033565693726578,0.011181719635224158,1.818652014166644,0.0175470185443018,7456,0.5523781300933471
1,12,connect,0.015183219791463502,0.006893283883149604,2.202610547837113,0.017296943065871324,6578,0.4873314565120759
1,13,pairing,0.011232729157449153,0.0038923075061251173,2.8858791701033195,0.01717496527787221,5091,0.3771669877018818
1,14,cancellation,0.013052958948713386,0.005375546245223973,2.4282107067504763,0.016706398830388446,5280,0.39116906208327157
1,15,charging case,0.009325214872222716,0.002765687724610705,3.3717526338457358,0.016351752136087788,2922,0.21647651503926507
1,16,noise cancellation,0.012579742885147295,0.005125297555310632,2.4544414734824946,0.016295733089019163,5131,0.38013038968736107
1,17,charger,0.01087767057490967,0.0042463121640812385,2.56167473163188,0.014761948604542845,4664,0.34553267150688993
1,18,cancelling,0.011530220653132037,0.005008252651049613,2.302244206752095,0.013871326721358962,4848,0.35916432064009485
1,19,noise cancelling,0.011121513086390653,0.004715776732562612,2.3583629411964804,0.013766050522726545,4694,0.3477552229959994
1,20,easy,0.01921988050193934,0.011849329266964357,1.622022653628326,0.013411516695001065,8182,0.606163876129797
1,21,paired,0.00950491996128808,0.003575204058871921,2.6585671203977617,0.013408104796352066,4794,0.35516372795969775
1,22,canceling,0.010648300478930933,0.004489303883261031,2.3719268631519053,0.013268416247382965,4540,0.336346125351904
